Variable,Coef.,Std. Err.,z-stat,p-value,Log-Lik,N,AIC,BIC
Intercept,13.1156,2.265,5.79,0.0,-585.0,2233,1214.0,1339.64
log(Capacity),-2.8001,0.1936,-14.462,0.0,-585.0,2233,1214.0,1339.64
log(Other Capacity),0.9242,0.1234,7.49,0.0,-585.0,2233,1214.0,1339.64
Util. Rate,-5.3938,1.854,-2.909,0.0036,-585.0,2233,1214.0,1339.64
Embedding Index h'γ,1.0,0.1196,8.359,0.0,-585.0,2233,1214.0,1339.64
