Model,Log-Lik,AIC,BIC,Params,LR Stat,LR p-val,ΔAIC,ΔBIC
Homogeneous (Baseline),-626.96,1295.93,1415.86,21,,,,
Embedding-Augmented (Cross-Fitted),-585.0,1214.0,1339.64,22,83.929,0.0,81.93,76.22
